Station :0,000
Number of segments :1
   Segment 1
      14,774    3,221
      14,981    3,658
      15,155    4,102
      15,292    4,544
      15,385    4,974
      15,439    5,398
      15,464    5,823
      15,473    6,249
      15,476    7,112
      15,489    7,998
      15,491    9,299
      15,507   11,521
      15,508   12,710
      15,533   15,101 (knuckle)
      15,533   17,601 (knuckle)
       9,390   17,601
       9,500   17,601 (knuckle)
       9,500   20,101 (knuckle)
       0,000   20,101
-------------------------------

Station :110,000
Number of segments :6
   Segment 1
      13,317   17,801
      13,317   18,301
      13,317   18,801
      13,318   19,301
      13,318   19,801 (knuckle)
      13,118   19,801
      12,495   19,799
      12,008   19,796
      11,538   19,788
      11,236   19,788
      10,766   19,796
      10,279   19,799
       9,657   19,801
       9,456   19,801 (knuckle)
       9,456   19,301
       9,456   18,801
       9,456   18,301
       9,456   17,801

   Segment 2
       1,084   32,702
       1,115   32,702 (knuckle)
       1,115   32,602 (knuckle)
       0,000   32,602 (knuckle)
       0,000   32,702 (knuckle)
       1,084   32,702

   Segment 3
       1,023   30,202
       1,106   30,202 (knuckle)
       1,106   30,102 (knuckle)
       0,000   30,102 (knuckle)
       0,000   30,202 (knuckle)
       1,023   30,202

   Segment 4
       2,589   22,701
       4,641   22,701
       4,565   22,701
       4,654   22,701 (knuckle)
       4,654   22,601 (knuckle)
       0,000   22,601 (knuckle)
       0,000   22,701 (knuckle)
       2,589   22,701

   Segment 5
      13,699   17,601
      13,699   17,801 (knuckle)
       9,084   17,801 (knuckle)
       9,084   17,601

   Segment 6
       0,000    0,000
       8,514    0,000 (knuckle)
       9,704    0,228
      10,252    0,344
      10,744    0,462
      11,169    0,584
      11,541    0,718
      11,882    0,869
      12,214    1,046
      12,554    1,253
      12,893    1,481
      13,220    1,718
      13,520    1,952
      13,785    2,173
      14,015    2,385
      14,211    2,591
      14,378    2,797
      14,518    3,007
      14,637    3,221
      14,741    3,439
      14,923    3,884
      15,079    4,333
      15,193    4,770
      15,265    5,194
      15,307    5,615
      15,332    6,041
      15,344    6,471
      15,365    8,224
      15,366    9,849
      15,372   11,534
      15,408   14,992
      15,419   15,101 (knuckle)
      15,419   17,601 (knuckle)
       4,987   17,601 (knuckle)
       4,987   20,101 (knuckle)
       0,000   20,101
-------------------------------

Station :120,000
Number of segments :1
   Segment 1
       0,000    0,000
       8,211    0,000 (knuckle)
       9,338    0,230
       9,858    0,347
      10,325    0,466
      10,729    0,590
      11,082    0,723
      11,408    0,875
      11,725    1,052
      12,051    1,258
      12,377    1,486
      12,692    1,722
      12,982    1,956
      13,237    2,177
      13,457    2,389
      13,647    2,595
      13,807    2,801
      13,942    3,010
      14,057    3,223
      14,158    3,440
      14,339    3,885
      14,501    4,333
      14,624    4,771
      14,705    5,194
      14,758    5,616
      14,793    6,043
      14,814    6,478
      14,830    7,362
      14,842    9,560
      14,838   10,910
      14,841   11,532
      14,868   13,318
      14,909   15,114 (knuckle)
      11,800   15,114 (knuckle)
      11,800   17,614 (knuckle)
       8,341   17,615
       4,000   17,616
       0,000   17,618
-------------------------------

Station :130,000
Number of segments :4
   Segment 1
      12,437   15,351
      12,437   15,851
      12,437   16,351
      12,438   16,851
      12,438   17,351 (knuckle)
      12,238   17,350
      11,615   17,349
      11,128   17,346
      10,658   17,338
      10,356   17,338
       9,886   17,346
       9,399   17,349
       8,777   17,350
       8,576   17,351 (knuckle)
       8,576   16,851
       8,576   16,351
       8,576   15,851
       8,576   15,351

   Segment 2
       5,662   21,262
       5,586   22,333 (knuckle)
       4,932   22,662
       3,892   23,167 (knuckle)
      -0,010   23,167 (knuckle)
      -0,006   22,959
      -0,001   21,935
      -0,001   21,039
       0,000   20,184 (knuckle)
       5,738   20,184 (knuckle)
       5,662   21,262

   Segment 3
      12,819   15,151
      12,819   15,351 (knuckle)
       8,204   15,351 (knuckle)
       8,204   15,151

   Segment 4
       0,000    0,000
       7,527    0,000 (knuckle)
       8,584    0,234
       9,070    0,353
       9,505    0,473
       9,879    0,596
      10,205    0,730
      10,503    0,881
      10,794    1,057
      11,093    1,264
      11,394    1,491
      11,686    1,728
      12,202    2,182
      12,418    2,392
      12,605    2,597
      12,766    2,802
      12,903    3,011
      13,021    3,224
      13,127    3,441
      13,323    3,886
      13,505    4,337
      13,650    4,775
      13,754    5,200
      13,826    5,626
      13,877    6,059
      13,913    6,498
      13,936    6,938
      13,984    8,869
      14,017   10,916
      14,089   13,321
      14,118   14,043
      14,172   15,158 (knuckle)
      10,969   15,158
       7,407   15,157
       5,965   15,156 (knuckle)
       5,965   17,656 (knuckle)
       5,965   17,656 (knuckle)
       5,965   20,184 (knuckle)
       0,000   20,184
-------------------------------

Station :140,000
Number of segments :3
   Segment 1
       3,002   21,370
       2,903   21,394
       2,818   21,455
       2,758   21,542
       2,735   21,641
       2,757   21,739
       2,817   21,824
       2,902   21,884
       3,000   21,907
       3,099   21,884
       3,186   21,823
       3,248   21,738
       3,271   21,640
       3,248   21,541
       3,187   21,454
       3,100   21,393
       3,002   21,370

   Segment 2
       1,252   21,370
       1,153   21,394
       1,068   21,455
       1,008   21,542
       0,985   21,641
       1,007   21,739
       1,067   21,824
       1,152   21,884
       1,250   21,907
       1,349   21,884
       1,436   21,823
       1,498   21,738
       1,521   21,640
       1,498   21,541
       1,437   21,454
       1,350   21,393
       1,252   21,370

   Segment 3
       0,000    0,000
       6,168    0,000 (knuckle)
       7,251    0,242
       7,747    0,364
       8,188    0,486
       8,562    0,612
       8,883    0,747
       9,172    0,899
       9,450    1,076
       9,733    1,283
      10,017    1,511
      10,294    1,748
      10,787    2,200
      10,997    2,409
      11,182    2,612
      11,344    2,815
      11,484    3,020
      11,607    3,231
      11,718    3,446
      11,929    3,891
      12,127    4,346
      12,287    4,787
      12,404    5,212
      12,493    5,641
      12,562    6,078
      12,614    6,515
      12,654    6,950
      12,705    7,826
      12,789    9,871
      12,866   11,254
      12,953   12,480
      13,027   13,330
      13,174   14,690
      13,242   15,233 (knuckle)
       9,059   15,232
       7,865   15,232
       4,321   15,231
       2,963   15,231
       0,000   15,230
-------------------------------

Station :150,000
Number of segments :1
   Segment 1
       0,000    0,000
       4,391    0,000 (knuckle)
       5,557    0,253
       6,089    0,380
       6,558    0,506
       6,953    0,634
       7,287    0,770
       7,585    0,923
       7,867    1,100
       8,152    1,308
       8,435    1,536
       8,707    1,773
       8,959    2,006
       9,183    2,227
       9,380    2,435
       9,553    2,638
       9,705    2,838
       9,839    3,040
      10,072    3,456
      10,287    3,897
      10,489    4,354
      10,578    4,580
      10,719    5,014
      10,823    5,439
      10,903    5,869
      10,965    6,302
      11,014    6,735
      11,052    7,171
      11,106    8,047
      11,141    8,895
      11,165    9,337
      11,207    9,880
      11,272   10,571
      11,344   11,260
      11,406   11,803
      11,467   12,263
      11,543   12,750
      11,657   13,342
      11,818   14,057
      11,974   14,701
      12,139   15,335 (knuckle)
       8,806   15,335
       5,284   15,334
       2,645   15,334
       0,000   15,334
-------------------------------

Station :160,000
Number of segments :2
   Segment 1
       5,096   18,227
       3,892   18,816 (knuckle)
       0,000   18,816 (knuckle)
       0,000   16,001 (knuckle)
       5,505   16,001 (knuckle)
       5,409   17,060
       5,312   18,122 (knuckle)
       5,096   18,227

   Segment 2
       0,000    0,000
       2,703    0,000 (knuckle)
       3,813    0,260
       4,320    0,389
       4,770    0,517
       5,150    0,645
       5,476    0,781
       5,770    0,933
       6,053    1,109
       6,341    1,316
       6,630    1,544
       6,908    1,782
       7,163    2,017
       7,388    2,241
       7,584    2,453
       7,753    2,658
       7,899    2,859
       8,026    3,058
       8,139    3,260
       8,244    3,467
       8,444    3,903
       8,634    4,362
       8,788    4,812
       8,899    5,246
       8,979    5,673
       9,038    6,102
       9,086    6,533
       9,125    6,966
       9,153    7,404
       9,211    8,911
       9,244    9,358
       9,305    9,902
       9,400   10,586
       9,507   11,270
       9,603   11,816
       9,702   12,281
       9,827   12,767
      10,010   13,354
      10,263   14,066
      10,514   14,728
      10,821   15,489 (knuckle)
       8,343   15,488
       5,238   15,483
       5,353   15,483
       5,342   15,483 (knuckle)
       5,342   16,001 (knuckle)
       0,000   16,001
-------------------------------

Station :170,000
Number of segments :3
   Segment 1
       3,001   17,247
       2,910   17,269
       2,830   17,327
       2,773   17,408
       2,752   17,501
       2,773   17,593
       2,829   17,672
       2,908   17,728
       3,000   17,749
       3,093   17,728
       3,174   17,671
       3,232   17,592
       3,254   17,500
       3,232   17,407
       3,175   17,326
       3,094   17,269
       3,001   17,247

   Segment 2
       1,251   17,247
       1,160   17,269
       1,080   17,327
       1,023   17,408
       1,002   17,501
       1,023   17,593
       1,079   17,672
       1,158   17,728
       1,250   17,749
       1,343   17,728
       1,424   17,671
       1,482   17,592
       1,504   17,500
       1,482   17,407
       1,425   17,326
       1,344   17,269
       1,251   17,247

   Segment 3
       0,000    0,000
       1,522    0,000 (knuckle)
       2,439    0,261
       2,860    0,391
       3,235    0,519
       3,556    0,648
       3,834    0,784
       4,089    0,937
       4,338    1,114
       4,595    1,321
       4,855    1,551
       5,107    1,790
       5,340    2,027
       5,546    2,253
       5,724    2,468
       5,878    2,675
       6,008    2,875
       6,119    3,073
       6,214    3,272
       6,381    3,687
       6,540    4,140
       6,681    4,604
       6,738    4,829
       6,828    5,265
       6,889    5,693
       6,932    6,123
       6,988    6,773
       7,020    7,210
       7,045    7,651
       7,084    8,517
       7,110    8,943
       7,154    9,386
       7,232    9,924
       7,356   10,604
       7,500   11,288
       7,634   11,842
       7,701   12,082
       7,848   12,547
       7,937   12,795
       8,045   13,068
       8,176   13,376
       8,508   14,094
       8,852   14,790
       9,126   15,312
       9,353   15,719 (knuckle)
       7,000   15,719
       4,657   15,718
       2,328   15,717
       0,000   15,716
-------------------------------

Station :180,000
Number of segments :1
   Segment 1
       0,000    0,000
       0,864    0,000 (knuckle)
       1,504    0,262
       1,800    0,392
       2,068    0,523
       2,302    0,654
       2,510    0,794
       2,704    0,949
       2,896    1,128
       3,093    1,336
       3,291    1,565
       3,482    1,804
       3,658    2,040
       3,811    2,265
       3,941    2,479
       4,052    2,685
       4,144    2,884
       4,221    3,081
       4,285    3,277
       4,393    3,691
       4,494    4,147
       4,584    4,615
       4,652    5,064
       4,702    5,496
       4,737    5,923
       4,812    7,007
       4,879    7,891
       4,955    8,750
       5,000    9,177
       5,068    9,655
       5,118    9,942
       5,261   10,625
       5,429   11,327
       5,591   11,915
       5,751   12,407
       5,834   12,635
       5,929   12,869
       6,044   13,124
       6,187   13,416
       6,363   13,755
       6,565   14,124
       6,778   14,500
       6,993   14,859
       7,198   15,184
       7,394   15,480
       7,773   16,023 (knuckle)
       0,000   16,023
-------------------------------

Station :190,000
Number of segments :1
   Segment 1
       0,000    0,000
       0,429    0,000 (knuckle)
       0,846    0,258
       1,042    0,388
       1,223    0,519
       1,387    0,653
       1,535    0,795
       1,674    0,953
       1,808    1,133
       1,940    1,341
       2,067    1,567
       2,183    1,803
       2,284    2,037
       2,367    2,260
       2,431    2,474
       2,480    2,680
       2,515    2,881
       2,540    3,078
       2,557    3,276
       2,616    4,396
       2,681    5,940
       2,730    6,802
       2,763    7,239
       2,883    8,544
       2,928    8,972
       2,987    9,416
       3,083    9,954
       3,151   10,284
       3,319   11,017
       3,411   11,387
       3,596   12,062
       3,764   12,605
       3,838   12,818
       3,917   13,015
       4,014   13,224
       4,140   13,476
       4,306   13,790
       4,508   14,153
       4,736   14,544
       4,984   14,939
       5,243   15,322
       5,511   15,692
       6,061   16,409 (knuckle)
       0,000   16,409
-------------------------------

Station :200,000
Number of segments :1
   Segment 1
       0,000    0,008
       0,124    0,015 (knuckle)
       0,411    0,393
       0,595    0,658
       0,681    0,800
       0,764    0,957
       0,846    1,135
       0,927    1,340
       1,003    1,562
       1,072    1,794
       1,129    2,026
       1,171    2,248
       1,199    2,462
       1,214    2,670
       1,219    2,872
       1,204    3,273
       1,153    3,936
       1,119    4,427
       1,094    4,895
       1,080    5,325
       1,081    5,746
       1,094    6,172
       1,124    6,819
       1,206    8,331
       1,233    8,761
       1,270    9,194
       1,326    9,677
       1,415   10,297
       1,544   11,069
       1,625   11,498
       1,716   11,942
       1,810   12,364
       1,896   12,726
       1,972   13,023
       2,026   13,211
       2,090   13,400
       2,235   13,766
       2,396   14,136
       2,599   14,564
       2,841   15,023
